============================================================
4_NET_CONNECTIONS
COMMAND : netstat -ano
============================================================
Active Connections
Proto  Local Address          Foreign Address        State           PID
TCP    192.168.11.227:139     0.0.0.0:0              LISTENING       4
TCP    192.168.11.227:1386    142.250.67.46:443      ESTABLISHED     8264
TCP    192.168.11.227:1662    172.64.155.209:443     ESTABLISHED     8264
TCP    192.168.11.227:1663    172.64.155.209:443     ESTABLISHED     12424
TCP    192.168.11.227:1748    104.86.188.184:443     ESTABLISHED     17672
TCP    192.168.11.227:1786    104.18.13.205:443      ESTABLISHED     8264
TCP    192.168.11.227:1787    104.18.13.205:443      ESTABLISHED     12424
TCP    192.168.11.227:1823    104.18.39.21:443       ESTABLISHED     8264
TCP    192.168.11.227:1824    104.18.39.21:443       ESTABLISHED     12424
TCP    192.168.11.227:2813    20.189.173.27:443      ESTABLISHED     17672
TCP    192.168.11.227:2814    20.189.173.27:443      ESTABLISHED     12424
TCP    192.168.11.227:3610    20.189.173.27:443      ESTABLISHED     17672
TCP    192.168.11.227:3611    20.189.173.27:443      ESTABLISHED     12424
TCP    192.168.11.227:4432    192.178.211.84:443     ESTABLISHED     8264
TCP    192.168.11.227:4433    192.178.211.84:443     CLOSE_WAIT      12424
TCP    192.168.11.227:5436    52.123.175.100:443     ESTABLISHED     13540
TCP    192.168.11.227:5803    13.107.6.158:443       ESTABLISHED     17672
TCP    192.168.11.227:5804    13.107.6.158:443       ESTABLISHED     12424
TCP    192.168.11.227:6966    204.79.197.203:443     ESTABLISHED     17672
TCP    192.168.11.227:6967    204.79.197.203:443     ESTABLISHED     12424
TCP    192.168.11.227:7425    104.86.188.154:443     ESTABLISHED     17672
TCP    192.168.11.227:7426    104.86.188.154:443     ESTABLISHED     12424
TCP    192.168.11.227:7534    108.159.15.70:443      ESTABLISHED     17672
TCP    192.168.11.227:7535    108.159.15.70:443      ESTABLISHED     12424
TCP    192.168.11.227:7824    142.250.205.106:443    ESTABLISHED     8264
TCP    192.168.11.227:8204    8.8.8.8:443            ESTABLISHED     13540
TCP    192.168.11.227:8254    156.225.96.208:443     ESTABLISHED     8264
TCP    192.168.11.227:8255    156.225.96.208:443     CLOSE_WAIT      12424
TCP    192.168.11.227:8492    4.213.25.241:443       ESTABLISHED     11296
TCP    192.168.11.227:8624    23.203.63.99:443       ESTABLISHED     17672
TCP    192.168.11.227:8625    23.203.63.99:443       ESTABLISHED     12424
TCP    192.168.11.227:9234    34.170.65.59:443       ESTABLISHED     20676
TCP    192.168.11.227:9967    119.8.160.175:11111    ESTABLISHED     13784
TCP    192.168.11.227:10020   104.86.188.154:443     ESTABLISHED     17672
TCP    192.168.11.227:10021   104.86.188.154:443     CLOSE_WAIT      12424
TCP    192.168.11.227:10479   52.123.128.14:443      ESTABLISHED     13540
TCP    192.168.11.227:10480   20.50.80.214:443       ESTABLISHED     9356
TCP    192.168.11.227:10481   20.189.173.7:443       ESTABLISHED     9356
TCP    192.168.11.227:11212   8.8.4.4:443            ESTABLISHED     18012
TCP    192.168.11.227:11512   172.64.155.209:443     ESTABLISHED     8264
TCP    192.168.11.227:11513   172.64.155.209:443     ESTABLISHED     12424
TCP    192.168.11.227:12136   23.203.63.99:443       ESTABLISHED     17672
TCP    192.168.11.227:12137   23.203.63.99:443       CLOSE_WAIT      12424
TCP    192.168.11.227:12200   23.203.63.99:443       ESTABLISHED     17672
TCP    192.168.11.227:12201   23.203.63.99:443       ESTABLISHED     12424
TCP    192.168.11.227:12263   104.86.188.154:443     ESTABLISHED     17672
TCP    192.168.11.227:12264   104.86.188.154:443     ESTABLISHED     12424
TCP    192.168.11.227:12493   172.64.155.209:443     ESTABLISHED     8264
TCP    192.168.11.227:12494   172.64.155.209:443     ESTABLISHED     12424
TCP    192.168.11.227:13336   50.118.166.66:80       ESTABLISHED     8264
TCP    192.168.11.227:13337   50.118.166.66:80       ESTABLISHED     12424
TCP    192.168.11.227:15576   34.170.65.59:443       ESTABLISHED     10400
TCP    192.168.11.227:15582   104.18.32.47:443       ESTABLISHED     20324
TCP    192.168.11.227:15809   166.108.200.175:443    CLOSE_WAIT      13784
TCP    192.168.11.227:16314   20.50.73.11:443        ESTABLISHED     13540
TCP    192.168.11.227:16954   20.50.73.11:443        ESTABLISHED     13540
TCP    192.168.11.227:17466   34.170.65.59:443       ESTABLISHED     14900
TCP    192.168.11.227:18205   23.203.63.137:443      ESTABLISHED     17672
TCP    192.168.11.227:18206   23.203.63.137:443      ESTABLISHED     12424
TCP    192.168.11.227:19378   104.86.188.184:443     ESTABLISHED     17672
TCP    192.168.11.227:20080   192.168.11.227:1386    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:1662    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:1748    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:1786    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:1823    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:2813    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:3610    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:4432    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:5803    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:6966    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:7425    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:7534    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:7824    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:8254    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:8624    ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:10020   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:11212   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:11512   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:12136   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:12200   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:12263   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:12493   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:13336   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:18205   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:19378   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:20291   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:21346   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:22235   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:24950   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:25389   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:25931   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:26958   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:28029   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:28750   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:30482   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:31537   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:32123   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:32814   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:34784   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:35666   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:35780   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:36830   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:37718   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:38072   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:39185   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:40148   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:43247   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:43480   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:43691   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:43811   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:44076   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:44630   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:44918   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:45300   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:45671   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:45946   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:46210   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:48874   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:48966   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:50217   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:51264   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:51845   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:52075   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:53711   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:54761   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:56326   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:56339   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:56777   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:57751   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:58686   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:59087   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:61787   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:63488   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:64019   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:64958   ESTABLISHED     12424
TCP    192.168.11.227:20080   192.168.11.227:65359   ESTABLISHED     12424
TCP    192.168.11.227:20291   204.79.197.203:443     ESTABLISHED     17672
TCP    192.168.11.227:20292   204.79.197.203:443     ESTABLISHED     12424
TCP    192.168.11.227:20293   204.79.197.203:443     ESTABLISHED     12424
TCP    192.168.11.227:20294   204.79.197.203:443     ESTABLISHED     12424
TCP    192.168.11.227:21346   142.250.206.14:443     ESTABLISHED     8264
TCP    192.168.11.227:22235   104.86.188.224:443     ESTABLISHED     17672
TCP    192.168.11.227:22236   104.86.188.224:443     CLOSE_WAIT      12424
TCP    192.168.11.227:22237   104.86.188.224:443     CLOSE_WAIT      12424
TCP    192.168.11.227:22725   34.123.33.186:443      ESTABLISHED     20676
TCP    192.168.11.227:22749   20.190.174.43:443      ESTABLISHED     13540
TCP    192.168.11.227:24950   172.188.155.25:443     ESTABLISHED     17672
TCP    192.168.11.227:24952   172.188.155.25:443     ESTABLISHED     12424
TCP    192.168.11.227:25372   4.213.25.240:443       ESTABLISHED     17148
TCP    192.168.11.227:25389   160.79.104.10:443      ESTABLISHED     8264
TCP    192.168.11.227:25390   160.79.104.10:443      ESTABLISHED     12424
TCP    192.168.11.227:25401   52.168.117.171:443     ESTABLISHED     6416
TCP    192.168.11.227:25931   204.79.197.203:443     ESTABLISHED     17672
TCP    192.168.11.227:26958   150.171.28.12:443      ESTABLISHED     17672
TCP    192.168.11.227:26959   150.171.28.12:443      ESTABLISHED     12424
TCP    192.168.11.227:28029   52.110.15.137:443      ESTABLISHED     17672
TCP    192.168.11.227:28030   52.110.15.137:443      ESTABLISHED     12424
TCP    192.168.11.227:28042   156.238.128.62:443     ESTABLISHED     20324
TCP    192.168.11.227:28060   40.99.9.50:443         ESTABLISHED     13540
TCP    192.168.11.227:28750   4.213.133.127:443      ESTABLISHED     17672
TCP    192.168.11.227:28751   4.213.133.127:443      ESTABLISHED     12424
TCP    192.168.11.227:30482   192.178.211.84:443     ESTABLISHED     8264
TCP    192.168.11.227:30483   192.178.211.84:443     ESTABLISHED     12424
TCP    192.168.11.227:31299   104.18.39.21:443       ESTABLISHED     20324
TCP    192.168.11.227:31537   20.189.173.27:443      ESTABLISHED     17672
TCP    192.168.11.227:31565   23.103.239.133:443     ESTABLISHED     13540
TCP    192.168.11.227:32123   104.86.188.224:443     ESTABLISHED     17672
TCP    192.168.11.227:32814   104.86.188.145:443     ESTABLISHED     17672
TCP    192.168.11.227:32815   104.86.188.145:443     CLOSE_WAIT      12424
TCP    192.168.11.227:33056   166.108.200.175:443    CLOSE_WAIT      13784
TCP    192.168.11.227:33057   166.108.200.175:443    CLOSE_WAIT      13784
TCP    192.168.11.227:34784   20.189.173.27:443      ESTABLISHED     17672
TCP    192.168.11.227:34785   20.189.173.27:443      ESTABLISHED     12424
TCP    192.168.11.227:35666   104.86.188.184:443     ESTABLISHED     17672
TCP    192.168.11.227:35780   150.171.110.84:443     ESTABLISHED     17672
TCP    192.168.11.227:35781   150.171.110.84:443     ESTABLISHED     12424
TCP    192.168.11.227:35782   150.171.28.11:443      ESTABLISHED     12424
TCP    192.168.11.227:36830   35.190.80.1:443        ESTABLISHED     8264
TCP    192.168.11.227:36831   35.190.80.1:443        ESTABLISHED     12424
TCP    192.168.11.227:36832   166.108.200.175:443    ESTABLISHED     13784
TCP    192.168.11.227:37718   163.181.201.189:443    ESTABLISHED     8264
TCP    192.168.11.227:37719   163.181.201.189:443    CLOSE_WAIT      12424
TCP    192.168.11.227:38072   104.86.188.184:443     ESTABLISHED     17672
TCP    192.168.11.227:38073   104.86.188.184:443     ESTABLISHED     12424
TCP    192.168.11.227:38074   104.86.188.184:443     ESTABLISHED     12424
TCP    192.168.11.227:38075   104.86.188.184:443     ESTABLISHED     12424
TCP    192.168.11.227:38076   104.86.188.184:443     ESTABLISHED     12424
TCP    192.168.11.227:38077   104.86.188.184:443     ESTABLISHED     12424
TCP    192.168.11.227:38686   40.99.31.146:443       ESTABLISHED     13540
TCP    192.168.11.227:39185   64.233.170.188:5228    ESTABLISHED     8264
TCP    192.168.11.227:39186   64.233.170.188:5228    ESTABLISHED     12424
TCP    192.168.11.227:40148   172.217.24.170:443     ESTABLISHED     8264
TCP    192.168.11.227:40149   172.217.24.170:443     CLOSE_WAIT      12424
TCP    192.168.11.227:42012   52.123.160.117:443     ESTABLISHED     19164
TCP    192.168.11.227:43247   204.79.197.203:443     ESTABLISHED     17672
TCP    192.168.11.227:43248   204.79.197.203:443     ESTABLISHED     12424
TCP    192.168.11.227:43480   216.239.32.223:443     ESTABLISHED     8264
TCP    192.168.11.227:43691   204.79.197.203:443     ESTABLISHED     17672
TCP    192.168.11.227:43725   104.18.13.205:443      ESTABLISHED     20324
TCP    192.168.11.227:43811   142.251.43.195:443     ESTABLISHED     8264
TCP    192.168.11.227:43812   142.251.43.195:443     CLOSE_WAIT      12424
TCP    192.168.11.227:44076   172.64.148.235:443     ESTABLISHED     8264
TCP    192.168.11.227:44077   172.64.148.235:443     ESTABLISHED     12424
TCP    192.168.11.227:44620   166.108.200.175:443    ESTABLISHED     13784
TCP    192.168.11.227:44630   104.86.188.184:443     ESTABLISHED     17672
TCP    192.168.11.227:44918   20.190.174.41:443      ESTABLISHED     17672
TCP    192.168.11.227:44919   20.190.174.41:443      ESTABLISHED     12424
TCP    192.168.11.227:45300   54.147.102.0:443       ESTABLISHED     8264
TCP    192.168.11.227:45301   54.147.102.0:443       ESTABLISHED     12424
TCP    192.168.11.227:45671   142.251.43.131:443     ESTABLISHED     8264
TCP    192.168.11.227:45672   142.251.43.131:443     ESTABLISHED     12424
TCP    192.168.11.227:45946   104.86.188.154:443     ESTABLISHED     17672
TCP    192.168.11.227:45947   104.86.188.154:443     CLOSE_WAIT      12424
TCP    192.168.11.227:46210   104.86.188.184:443     ESTABLISHED     17672
TCP    192.168.11.227:46211   104.86.188.184:443     ESTABLISHED     12424
TCP    192.168.11.227:48874   172.64.155.209:443     ESTABLISHED     8264
TCP    192.168.11.227:48875   172.64.155.209:443     ESTABLISHED     12424
TCP    192.168.11.227:48966   142.250.66.10:443      ESTABLISHED     8264
TCP    192.168.11.227:48967   142.250.66.10:443      ESTABLISHED     12424
TCP    192.168.11.227:50217   23.203.63.99:443       ESTABLISHED     17672
TCP    192.168.11.227:50218   23.203.63.99:443       ESTABLISHED     12424
TCP    192.168.11.227:51264   142.251.221.110:443    ESTABLISHED     8264
TCP    192.168.11.227:51265   142.251.221.110:443    CLOSE_WAIT      12424
TCP    192.168.11.227:51453   13.67.9.5:443          ESTABLISHED     6416
TCP    192.168.11.227:51845   204.79.197.203:443     ESTABLISHED     17672
TCP    192.168.11.227:51846   204.79.197.203:443     ESTABLISHED     12424
TCP    192.168.11.227:51925   50.118.166.66:80       ESTABLISHED     20324
TCP    192.168.11.227:51965   74.125.130.188:5228    ESTABLISHED     20324
TCP    192.168.11.227:52075   104.18.32.47:443       ESTABLISHED     8264
TCP    192.168.11.227:52076   104.18.32.47:443       ESTABLISHED     12424
TCP    192.168.11.227:53621   192.178.211.84:443     CLOSE_WAIT      12424
TCP    192.168.11.227:53711   150.171.27.10:443      ESTABLISHED     17672
TCP    192.168.11.227:53712   150.171.27.10:443      ESTABLISHED     12424
TCP    192.168.11.227:54419   8.8.4.4:443            ESTABLISHED     20324
TCP    192.168.11.227:54420   101.47.81.229:443      ESTABLISHED     20324
TCP    192.168.11.227:54761   3.163.189.108:443      ESTABLISHED     8264
TCP    192.168.11.227:54762   3.163.189.108:443      CLOSE_WAIT      12424
TCP    192.168.11.227:55293   52.123.170.216:443     ESTABLISHED     13540
TCP    192.168.11.227:56326   183.82.248.27:443      ESTABLISHED     17672
TCP    192.168.11.227:56327   183.82.248.27:443      CLOSE_WAIT      12424
TCP    192.168.11.227:56339   20.189.173.27:443      ESTABLISHED     17672
TCP    192.168.11.227:56340   20.189.173.27:443      ESTABLISHED     12424
TCP    192.168.11.227:56777   23.203.63.99:443       ESTABLISHED     17672
TCP    192.168.11.227:56778   23.203.63.99:443       ESTABLISHED     12424
TCP    192.168.11.227:57751   142.251.222.138:443    ESTABLISHED     8264
TCP    192.168.11.227:57752   142.251.222.138:443    ESTABLISHED     12424
TCP    192.168.11.227:58525   100.30.112.246:443     ESTABLISHED     2484
TCP    192.168.11.227:58686   150.171.28.11:443      ESTABLISHED     17672
TCP    192.168.11.227:59087   20.189.173.27:443      ESTABLISHED     17672
TCP    192.168.11.227:59088   20.189.173.27:443      ESTABLISHED     12424
TCP    192.168.11.227:59089   20.189.173.27:443      ESTABLISHED     12424
TCP    192.168.11.227:61787   104.86.188.154:443     ESTABLISHED     17672
TCP    192.168.11.227:61788   104.86.188.154:443     CLOSE_WAIT      12424
TCP    192.168.11.227:63488   104.18.39.21:443       ESTABLISHED     8264
TCP    192.168.11.227:63489   104.18.39.21:443       ESTABLISHED     12424
TCP    192.168.11.227:64019   172.64.155.209:443     ESTABLISHED     8264
TCP    192.168.11.227:64020   172.64.155.209:443     ESTABLISHED     12424
TCP    192.168.11.227:64958   150.171.27.10:443      ESTABLISHED     17672
TCP    192.168.11.227:64959   150.171.27.10:443      ESTABLISHED     12424
TCP    192.168.11.227:65359   150.171.27.10:443      ESTABLISHED     17672
TCP    192.168.11.227:65360   150.171.27.10:443      ESTABLISHED     12424
TCP    192.168.56.1:139       0.0.0.0:0              LISTENING       4
TCP    [::]:135               [::]:0                 LISTENING       1580
TCP    [::]:445               [::]:0                 LISTENING       4
TCP    [::]:3306              [::]:0                 LISTENING       11868
TCP    [::]:5432              [::]:0                 LISTENING       12376
TCP    [::]:8086              [::]:0                 LISTENING       12080
TCP    [::]:8314              [::]:0                 LISTENING       1216
TCP    [::]:20080             [::]:0                 LISTENING       12424
TCP    [::]:33060             [::]:0                 LISTENING       11868
TCP    [::]:33230             [::]:0                 LISTENING       13784
TCP    [::]:49664             [::]:0                 LISTENING       1264
TCP    [::]:49665             [::]:0                 LISTENING       1092
TCP    [::]:49666             [::]:0                 LISTENING       2256
TCP    [::]:49667             [::]:0                 LISTENING       2996
TCP    [::]:49668             [::]:0                 LISTENING       9988
TCP    [::]:49676             [::]:0                 LISTENING       8092
TCP    [::]:49677             [::]:0                 LISTENING       8092
TCP    [::]:49678             [::]:0                 LISTENING       8092
TCP    [::]:49679             [::]:0                 LISTENING       8092
TCP    [::]:49680             [::]:0                 LISTENING       8092
TCP    [::]:54345             [::]:0                 LISTENING       17140
TCP    [::1]:5010             [::]:0                 LISTENING       10328
TCP    [::1]:5272             [::]:0                 LISTENING       9744
TCP    [::1]:5432             [::1]:8320             ESTABLISHED     12376
TCP    [::1]:8320             [::1]:5432             ESTABLISHED     11432
TCP    [::1]:42050            [::]:0                 LISTENING       23832
TCP    [::1]:42050            [::]:0                 LISTENING       23832
TCP    [::1]:49669            [::]:0                 LISTENING       10672
UDP    0.0.0.0:500            *:*                                    10472
UDP    0.0.0.0:4500           *:*                                    10472
UDP    0.0.0.0:5050           *:*                                    5448
UDP    0.0.0.0:5353           *:*                                    14628
UDP    0.0.0.0:5353           *:*                                    4616
UDP    0.0.0.0:5353           *:*                                    4616
UDP    0.0.0.0:5353           *:*                                    4616
UDP    0.0.0.0:5353           *:*                                    14628
UDP    0.0.0.0:5353           *:*                                    8264
UDP    0.0.0.0:5353           *:*                                    8264
UDP    0.0.0.0:5353           *:*                                    14628
UDP    0.0.0.0:5353           *:*                                    14628
UDP    0.0.0.0:5353           *:*                                    8264
UDP    0.0.0.0:5353           *:*                                    2980
UDP    0.0.0.0:5353           *:*                                    8264
UDP    0.0.0.0:5353           *:*                                    4616
UDP    0.0.0.0:5355           *:*                                    2980
UDP    0.0.0.0:50079          *:*                                    19164
UDP    0.0.0.0:50827          *:*                                    8544
UDP    0.0.0.0:54345          *:*                                    17140
UDP    0.0.0.0:60403          *:*                                    19164
UDP    0.0.0.0:60913          *:*                                    2980
UDP    127.0.0.1:1900         *:*                                    14964
UDP    127.0.0.1:50957        127.0.0.1:50958                        20324
UDP    127.0.0.1:50958        127.0.0.1:50957                        20324
UDP    127.0.0.1:56069        *:*                                    14964
UDP    127.0.0.1:60419        127.0.0.1:60419                        5084
UDP    192.168.11.227:137     *:*                                    4
UDP    192.168.11.227:138     *:*                                    4
UDP    192.168.11.227:1900    *:*                                    14964
UDP    192.168.11.227:2177    *:*                                    14624
UDP    192.168.11.227:56068   *:*                                    14964
UDP    192.168.56.1:137       *:*                                    4
UDP    192.168.56.1:138       *:*                                    4
UDP    192.168.56.1:1900      *:*                                    14964
UDP    192.168.56.1:2177      *:*                                    14624
UDP    192.168.56.1:56067     *:*                                    14964
UDP    [::]:500               *:*                                    10472
UDP    [::]:4500              *:*                                    10472
UDP    [::]:5353              *:*                                    8264
UDP    [::]:5353              *:*                                    8264
UDP    [::]:5353              *:*                                    4616
UDP    [::]:5353              *:*                                    14628
UDP    [::]:5353              *:*                                    14628
UDP    [::]:5353              *:*                                    2980
UDP    [::]:5353              *:*                                    4616
UDP    [::]:5355              *:*                                    2980
UDP    [::]:50079             *:*                                    19164
UDP    [::]:54345             *:*                                    17140
UDP    [::]:60403             *:*                                    19164
UDP    [::]:60913             *:*                                    2980
UDP    [::1]:1900             *:*                                    14964
UDP    [::1]:56066            *:*                                    14964
UDP    [fe80::381e:1432:9333:cefd%8]:1900  *:*                                    14964
UDP    [fe80::381e:1432:9333:cefd%8]:2177  *:*                                    14624
UDP    [fe80::381e:1432:9333:cefd%8]:56065  *:*                                    14964
UDP    [fe80::7b98:677d:cdf1:8769%10]:1900  *:*                                    14964
UDP    [fe80::7b98:677d:cdf1:8769%10]:2177  *:*                                    14624
UDP    [fe80::7b98:677d:cdf1:8769%10]:56064  *:*                                    14964
